dimension_id,dimension_name,ridge_alpha,r2_insample,r2_cv,r2_heldout,pearson_heldout,spearman_heldout,cosine_ridge_vs_contrastive,cosine_pre_vs_post_orthogonalization
1,Action Intensity,0.01,0.9999999998491547,0.9263393161513824,0.3958337563618697,0.704334577228785,0.709090909090909,0.7083881758358008,1.0000000000000004
2,Emotional Depth,0.01,0.9999999998445669,0.9102494319796369,0.40677405634942887,0.7893359468060352,0.7454545454545454,0.769055866215748,0.8585420562164652
3,Sci-Fi Elements,100.0,0.9812778307472189,0.5768907729750173,-296068.4058463741,0.046689093910984004,0.05454545454545454,0.6885771651602564,0.9623598760046121
4,Comedy Level,0.01,0.999999999772079,0.77145757965695,-0.02733198575024942,0.21886826673437815,0.12727272727272726,0.746067663877015,0.7915244084432908
5,Historical Accuracy,0.01,0.9999999998066976,0.813031790124798,0.31654826635599664,0.7655143558055673,0.709090909090909,0.6998551127206853,0.8539332096834273
6,Visual Effects,0.01,0.9999999998527754,0.8547721910690662,-0.04343520700876846,0.6665807292983279,0.6121212121212121,0.7402024042089992,0.7374737016963868
7,Character Complexity,0.01,0.9999999998377184,0.891856616999588,0.4740206394803508,0.8766855238356361,0.6727272727272726,0.7648778547585681,0.5360005996898343
8,Dialogue Quality,0.01,0.9999999997883764,0.7725908135706853,0.2664470304842932,0.7031344834574311,0.7575757575757575,0.7587237932550387,0.5614159794067979
9,Music Influence,1000.0,0.6268510325768787,0.5223270601250305,0.13728936179507167,0.44052173861814037,0.49090909090909085,0.7958442751222438,0.6488976226638067
10,Pacing Speed,0.01,0.9999999997843475,0.8246341138017717,0.07604270477085062,0.6104194707613338,0.5272727272727272,0.7206587131830022,0.6903726661585194
