dimension_id,dimension_name,ridge_alpha,r2_insample,r2_cv,r2_heldout,pearson_heldout,spearman_heldout,cosine_ridge_vs_contrastive,cosine_pre_vs_post_orthogonalization
1,Autonomy,1.0,0.6391778293722109,0.803192662391558,0.024142421610315323,0.3347138898601977,0.24352720450281426,0.7724898625372865,1.0000000000000013
2,Emotional Honesty,0.1,0.9693018670057063,0.8808301962141382,0.21426408573331224,0.6815978668720094,0.7099437148217638,0.6143386498351769,0.9675172731504172
3,Social Connection,1.0,0.6843209926391802,0.7610736583269315,0.3163539510418094,0.57325229835543,0.6861163227016887,0.7759832799667764,0.952307754538156
4,Spontaneity,1.0,0.6512406800330487,0.7883932928626348,0.19907830295417117,0.5939308702358786,0.4221388367729832,0.7425263614462118,0.9630928502542822
5,Conflict Avoidance,1.0,0.650401100443486,0.7314070184156664,-0.11204698871117147,0.2797517454467377,0.15103189493433397,0.8141278711126776,0.9347963436748951
6,Creativity,1.0,0.6268068572953642,0.6491742740057873,0.1658418608044815,0.47561139839570765,0.47861163227016895,0.6923797662989954,0.9298922930981696
7,Efficiency,1.0,0.7239626928095935,0.8261738180335987,0.31931933080956076,0.5963062340631554,0.5742964352720451,0.8272418054146198,0.9240487236034436
8,Humor,0.1,0.9707242192420168,0.8574653026888843,0.21394525547263854,0.5953755037792305,0.6780487804878049,0.5469032137905047,0.8426830639338501
9,Emotional Catharsis,1.0,0.6520015804054771,0.7556956739820712,0.15889746672258154,0.4015226873453437,0.5947467166979363,0.6769076034815179,0.7300176088673159
10,Moral Boundaries,1.0,0.6569701202193936,0.7531217837646701,0.23744550655842556,0.5645750311807332,0.5150093808630395,0.804683757524642,0.8779314013889538
11,Intellectual Engagement,0.1,0.9710537280064793,0.7611644021049272,0.343922798867093,0.6080544883722251,0.6200750469043153,0.6117475987596203,0.9185793526838247
12,Comfort,1.0,0.7172248721897554,0.755737287415234,0.2891912987712437,0.5815180856241091,0.5585365853658537,0.8266018977723398,0.7042659121132916
13,Social Recognition,0.1,0.9719172065058088,0.8571084293389569,0.2336419630777099,0.5339954917662513,0.5615384615384615,0.5946675121846441,0.9214422814436077
14,Cultural Awareness,0.1,0.971576553403118,0.8225839691199328,0.34423975670971696,0.6118806215730426,0.249718574108818,0.5974542536980951,0.9240762254874241
15,Identity Exploration,1.0,0.696950903862974,0.7430227955288113,0.24641727440144712,0.515970477667075,0.6358348968105066,0.729958887377351,0.7639393391009466
16,Direct Communication,0.1,0.9733362398796274,0.8359112905187753,0.35119781729921884,0.5937535836817666,0.5979362101313322,0.6581119752411352,0.6889084989304377
17,Emotional Restraint,1.0,0.6561258343016846,0.7117957898056628,0.20921771022827995,0.5211777060597409,0.5849906191369606,0.8524477316045649,0.6950494310601334
18,Social Obligation Avoidance,1.0,0.6795348079068095,0.8124470392476796,0.18557525710624356,0.5245987760699251,0.5977485928705442,0.7463856476718442,0.7229098505358121
19,Digital Convenience,0.1,0.9745221318655007,0.8169504796909532,0.2705831417483291,0.5648601936540828,0.22851782363977488,0.5977448284092863,0.909229953634712
20,Ethical Responsibility,1.0,0.6047658918051584,0.6658632684225736,-0.22440196975395943,0.17817070274042715,0.20637898686679176,0.860184303448413,0.6869660457597883
21,Financial Stability,1.0,0.5941680436890975,0.599792428219299,0.011925034064734108,0.44900710716599945,0.3797373358348969,0.6082835496086519,0.9534689874227533
22,Personal Growth,0.1,0.9688867532092189,0.8363035502710638,0.30576098344954605,0.559699759979396,0.6161350844277674,0.5670861029835278,0.6965947305624012
23,Tradition,1.0,0.6125343317731511,0.6730276273691966,-0.1331873564447743,0.13726434323007322,0.20637898686679176,0.725207273048793,0.8945498245283038
24,Institutional Efficiency,1.0,0.6410972071036176,0.6634939840301244,0.1675652102514481,0.4120845276514668,0.5279549718574109,0.6899423552426317,0.7829461485683028
25,Digital Autonomy,1.0,0.5666694537010236,0.28948427641687824,-29.676819735575886,-0.37545352448126806,-0.08217636022514073,0.40174673853325643,0.8435730466476803
