movieId,rating_count
318,102929
356,100296
296,98409
2571,93808
593,90330
260,85010
2959,77332
480,75233
527,73849
4993,73122
1196,72151
110,69482
1,68997
589,68383
50,67750
1210,67496
5952,67463
7153,67449
1198,67408
858,66440
2858,65158
47,63298
1270,61879
58559,59334
2028,58368
608,58031
79132,57931
3578,57449
780,57224
457,57073
2762,57010
150,55940
32,55275
4306,54844
4226,53658
364,51518
1704,50824
588,50442
592,49789
6539,48722
1580,48434
377,47210
380,47148
1240,47131
1197,46957
590,46771
1265,46512
1136,46508
1291,46401
541,46289
6377,46128
4886,46036
1721,45767
1036,45553
1214,45211
6874,45135
1193,44592
7361,44430
1682,44140
1089,43730
4973,43459
1221,43111
648,42879
344,42728
1213,42003
293,41846
33794,41686
8961,41463
595,41342
4963,41217
4995,41139
1097,40585
1527,40550
3793,40334
367,40007
60069,39993
500,39296
597,39189
2329,38967
3147,38965
1200,38846
5989,38652
1258,38640
5349,38627
165,38488
5445,38446
2716,38267
2628,37973
5418,37489
7438,37301
109487,37157
733,37001
1206,36818
231,36802
111,36647
59315,36468
68954,36382
1732,36349
2997,36151
34,35969
924,35934
4878,35452
736,35315
778,35303
153,35288
48516,35236
316,35215
44191,35173
72998,35043
68157,34888
4896,34825
586,34648
2918,33683
3996,33343
5618,33333
1961,33284
48780,32965
1617,32831
750,32830
3114,32683
1073,32575
1208,32518
4011,32509
1222,32501
10,32474
587,32382
4022,32200
912,32190
539,32129
99114,32043
253,31756
8368,31427
208,31329
349,31300
1246,31035
39,30616
91529,30369
357,30312
5816,29900
6365,29835
2324,29819
1968,29669
4027,29593
2706,29519
6,29490
1923,29426
2115,29294
1387,29265
919,29260
3949,29235
74458,29096
2683,29089
2,28904
2291,28689
2502,28330
2011,28236
50872,28187
134130,28104
32587,28015
223,27906
292,27883
329,27773
49272,27689
1517,27589
2396,27514
5378,27415
55820,27384
1259,27367
1307,27362
1080,27292
454,27224
1784,27176
1219,27027
8636,26989
1653,26958
54286,26934
2916,26920
8874,26914
106782,26861
2355,26736
1917,26671
1393,26643
112852,26482
288,26472
89745,26315
6711,26273
48394,26258
1610,26219
40815,26211
2012,26166
8360,26102
551,26081
1584,25896
8665,25836
434,25769
63082,25745
6016,25688
185,25669
2987,25451
3948,25370
161,25270
46578,25057
1225,24986
339,24940
2791,24936
904,24883
19,24849
51662,24833
21,24829
70286,24808
33493,24773
2174,24681
6333,24680
116797,24460
2542,24152
56367,24094
1101,24068
1220,24039
3897,24024
2797,24016
5218,24005
1573,23875
6934,23699
141,23546
8644,23382
69122,23372
1625,23310
95,23156
122904,23147
104,22963
2617,22927
1201,22922
923,22920
508,22912
3751,22822
2710,22780
5995,22683
1079,22610
25,22525
1485,22475
1247,22319
16,22298
3623,22254
17,22251
2692,22239
1356,22188
2000,22152
7147,22072
788,22021
1203,21863
36,21759
3408,21645
109374,21554
134853,21483
45722,21481
3977,21392
6502,21390
80463,21335
122882,21315
68358,21229
300,21085
54001,21073
1676,21043
69844,21033
81834,20969
3994,20917
2700,20870
442,20850
7254,20839
1391,20793
3527,20776
1252,20730
48774,20686
1954,20682
51255,20655
62,20596
115713,20588
594,20567
56174,20415
474,20399
1127,20399
4979,20357
73017,20352
78499,20327
91500,20315
81845,20274
3481,20240
88125,20227
7143,20186
410,20166
112556,20160
76093,20142
6373,20141
3052,20101
908,20093
35836,20093
440,19992
1407,19963
71535,19908
1090,19876
4034,19788
111759,19760
164179,19742
2712,19727
2268,19616
48385,19566
54503,19565
4262,19546
903,19529
337,19510
1288,19492
112552,19477
1230,19323
1370,19308
81591,19149
11,19127
1544,19112
6863,19044
2194,18929
1380,18926
3535,18868
64614,18810
5459,18809
1207,18785
122886,18727
1199,18702
368,18685
3753,18624
4246,18623
353,18497
30707,18458
1234,18416
92259,18416
1374,18400
2985,18396
953,18374
2054,18346
1278,18311
6942,18272
2353,18246
1997,18245
104841,18126
1035,18122
1394,18065
509,17960
2081,17911
317,17903
3471,17834
266,17820
1552,17747
555,17743
3000,17730
2395,17715
1028,17710
1148,17652
1266,17593
1304,17587
5502,17526
3175,17512
4308,17506
235,17428
3081,17415
2671,17387
33679,17358
786,17341
27773,17331
1608,17233
4370,17225
30793,17186
1641,17167
106920,17110
77561,17099
5010,17083
60684,17016
6378,17009
2640,16890
2572,16876
173,16833
70,16824
920,16824
1183,16746
1645,16718
784,16699
3253,16697
1673,16652
4848,16635
4720,16578
41566,16536
2019,16531
350,16467
59784,16390
520,16363
1777,16337
163,16327
49530,16325
4447,16274
5679,16246
553,16211
1320,16179
5669,16169
2302,16164
98809,16149
59369,16133
3176,16075
2006,16068
31658,16009
69757,15977
84152,15946
370,15893
1377,15834
1233,15804
76251,15783
1204,15772
5299,15762
68237,15744
832,15696
115617,15680
2167,15679
48,15667
1500,15667
420,15601
2529,15599
3160,15557
96079,15512
160,15511
56782,15494
1639,15477
708,15472
2657,15472
57669,15472
653,15471
4025,15462
53125,15453
2321,15417
119145,15392
87232,15387
34405,15364
47610,15298
2599,15290
4014,15269
3033,15168
145,15155
2001,15124
2406,15101
1729,15038
485,15028
2804,15016
64957,14997
148626,14997
2424,14973
1907,14851
435,14828
4816,14824
96610,14824
6870,14774
7293,14774
79702,14772
1250,14726
596,14721
2288,14719
4776,14680
196,14662
3785,14648
122912,14645
2273,14643
466,14637
34162,14627
2005,14603
497,14593
6537,14509
55247,14477
86332,14456
152081,14431
8361,14428
2947,14422
1748,14404
158,14395
1215,14379
3448,14376
1376,14369
1358,14354
2699,14351
88129,14327
47099,14319
1722,14288
1302,14286
30749,14276
2003,14222
8376,14216
913,14190
1282,14154
7458,14150
79091,14136
4018,14132
1088,14112
802,14093
45499,13991
33166,13969
745,13944
8529,13939
3717,13937
8798,13937
5481,13934
8784,13860
88140,13852
5956,13844
110102,13830
1333,13793
34048,13793
172,13788
106487,13777
8464,13770
2470,13719
5902,13719
4085,13714
4310,13699
2701,13691
3418,13685
3671,13664
1408,13630
1263,13621
2890,13609
910,13608
7,13585
85414,13580
97921,13576
5971,13556
552,13547
7451,13543
4270,13542
5903,13539
1690,13485
4975,13471
1276,13466
1876,13458
5060,13455
8641,13409
53996,13390
1466,13390
8984,13348
3421,13334
2763,13325
1275,13311
122916,13286
1396,13275
44195,13226
1262,13217
115569,13215
1884,13214
45447,13183
5,13154
1242,13152
111362,13151
4718,13139
3,13134
122918,13115
1909,13082
115149,13055
1228,13049
432,13005
5377,12969
1092,12968
2455,12962
899,12913
3275,12878
151,12868
673,12859
36529,12859
33004,12859
2294,12857
225,12836
3911,12835
8957,12829
805,12809
628,12797
3755,12771
543,12764
168252,12727
102125,12709
1094,12703
168,12664
494,12663
333,12644
4369,12641
91542,12627
236,12617
1285,12600
2100,12558
51540,12549
8972,12517
54272,12517
166528,12513
783,12497
2161,12497
3752,12467
2080,12430
4643,12420
122922,12404
45720,12386
2761,12381
5991,12378
1674,12332
2023,12326
